Read code,Description,Original Mapping,New Mapping,
G_8IAj.,Smoking cessation advice declined,S,S,TRUE
G_8IEK.,Smoking cessation program declined,S,S,TRUE
G_8IEM.,Smoking cessation drug therapy declined,S,S,TRUE
G_9hG..,Exception reporting: smoking quality indicators,S,S,TRUE
G_9hG0.,Excepted from smoking quality indicators: Patient unsuitable,S,S,TRUE
G_9hG1.,Excepted from smoking quality indicators: Informed dissent,S,S,TRUE
G_9kc..,Smoking cessation - enhanced services administration,S,S,TRUE
G_9kc0.,Smoking cessatn monitor template complet - enhanc serv admin,S,S,TRUE
G_9ko..,Current smoker annual review - enhanced service admin,S,S,TRUE
G_9N2k.,Seen by smoking cessation advisor,S,S,TRUE
G_9N4M.,DNA - did not attend smoking cessation clinic,S,S,TRUE
G_9Ndg.,Declined consent for follow-up by smoking cessation team,S,S,TRUE
G_9NdV.,Consent given follow-up after smoking cessation intervention,S,S,TRUE
G_9NdW.,Consent given for smoking cessation data sharing,S,S,TRUE
G_9NdY.,Declin cons follow-up evaluation after smoking cess interven,S,S,TRUE
G_9NdZ.,Declined consent for smoking cessation data sharing,S,S,TRUE
G_9NS02,Referral for smoking cessation service offered,S,S,TRUE
G_9OO..,Attends stop smoking monitor admin,S,S,TRUE
G_9OO1.,Attends stop smoking monitor,S,S,TRUE
G_9OO2.,Refuses stop smoking monitor,S,S,TRUE
G_9OO3.,Stop smoking monitor default,S,S,TRUE
G_9OO4.,Stop smoking monitor 1st lettr,S,S,TRUE
G_9OO5.,Stop smoking monitor 2nd lettr,S,S,TRUE
G_9OO6.,Stop smoking monitor 3rd lettr,S,S,TRUE
G_9OO7.,Stop smoking monitor verb.inv.,S,S,TRUE
G_9OO8.,Stop smoking monitor phone inv,S,S,TRUE
G_9OO9.,Stop smoking monitoring delete,S,S,TRUE
G_9OOA.,Stop smoking monitor check.done,S,S,TRUE
G_9OOB.,Stop smoking invitation short message service text message,S,S,TRUE
G_9OOB0,Stop smoking invitation first SMS text message,S,S,TRUE
G_9OOB1,Stop smoking invitation second SMS text message,S,S,TRUE
G_9OOB2,Stop smoking invitation third SMS text message,S,S,TRUE
G_9OOZ.,Stop smoking monitor admin.NOS,S,S,TRUE
G_E023.,Nicotine withdrawal,S,S,TRUE
G_J0364,Tobacco deposit on teeth,S,S,TRUE
G_SMC..,Toxic effect of tobacco and nicotine,S,S,TRUE
G_TJHy2,Adverse reaction to nicotine,S,S,TRUE
G_U6099,[X] Bupropion causing adverse effects in therapeutic use,S,S,TRUE
G_ZV4K0,[V] Tobacco use,S,S,TRUE
G_ZV6D8,[V] Tobacco abuse counselling,S,S,TRUE
G_13p5.,Smoking cessation programme start date,S,S,TRUE
G_9ko..,Current smoker annual review - enhanced service admin,S,S,TRUE
